country	Patent Number
AD	42
AE	1022
AF	3
AG	16
AI	4
AL	10
AM	184
AN	4
AO	5
AP	1
AR	1578
AT	20372
AU	28075
AW	11
AZ	14
BA	35
BB	58
BD	85
BE	21692
BG	835
BH	53
BI	2
BM	49
BN	46
BO	29
BQ	1
BR	5730
BS	97
BW	1
BY	284
BZ	13
CA	107897
CD	3
CF	1
CG	1
CH	42329
CI	14
CL	756
CM	32
CN	162541
CO	501
CR	435
CS	80
CU	98
CV	1
CW	1
CY	205
CZ	3767
DD	35
DE	230053
DJ	4
DK	16542
DL	1
DM	3
DO	64
DT	90
DZ	21
EC	77
EE	550
EG	598
EN	7
ER	4
ES	12888
ET	12
FI	21072
FJ	2
FO	5
FR	94723
GA	11
GB	110267
GD	1
GE	66
GF	3
GG	2
GH	18
GI	49
GL	4
GM	2
GN	3
GP	3
GR	1476
GT	48
GY	1
HK	7951
HN	27
HR	298
HT	1
HU	2314
ID	478
IE	9813
IL	46706
IM	48
IN	50830
IQ	7
IR	456
IS	668
IT	46633
JA	12
JE	106
JM	77
JO	173
JP	625188
KE	187
KG	1
KH	7
KI	1
KN	3
KP	7
KR	222872
KW	358
KY	167
KZ	76
LA	2
LB	223
LC	3
LI	712
LK	173
LR	1
LT	225
LU	1448
LV	143
LY	2
MA	80
MC	230
MD	29
ME	12
MG	9
MH	7
MK	18
ML	7
MM	8
MN	7
MO	116
MQ	1
MS	1
MT	173
MU	13
MV	1
MW	2
MX	4261
MY	4223
MZ	2
NC	4
NE	18
NG	51
NI	4
NL	42379
NO	8464
NP	12
NZ	5355
OM	47
PA	63
PE	121
PF	7
PG	2
PH	1220
PK	256
PL	3636
PR	1
PS	6
PT	1406
PY	15
QA	218
RE	1
RO	1335
RS	298
RU	7625
RW	3
SA	5317
SB	1
SC	28
SD	7
SE	39759
SG	15558
SH	1
SI	795
SK	662
SL	9
SM	8
SN	10
SO	1
SR	3
SU	34
SV	16
SW	2
SX	3
SY	15
SZ	5
TC	8
TD	1
TF	1
TG	1
TH	1920
TJ	1
TK	4
TM	7
TN	89
TO	4
TR	2044
TT	73
TV	1
TW	152318
TZ	12
UA	1093
UG	11
US	2049404
UY	124
UZ	15
VE	255
VG	40
VI	3
VN	388
VU	1
WS	19
XK	2
YE	13
YU	43
ZA	2733
ZM	2
ZW	13
un	6
